일자,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120,
2021/07/21,79000,79100,78500,78500,79380,79520,80205,80668.33,81820,12355296,12518607,13231829,15738260,17850522,
2021/07/20,78500,79000,78400,79000,79580,79750,80285,80751.67,81879.17,12456646,12362675,13306892,15790504,17967754,
2021/07/19,79100,79200,78800,79000,79740,79970,80335,80815,81943.33,13155414,11844036,13272727,15879645,18140440,
2021/07/16,80100,80100,79500,79800,79880,80110,80380,80871.67,82030,10859399,11166574,13418124,15892634,18257966,
2021/07/15,79800,80600,79500,80600,79800,80130,80415,80918.33,82088.33,13766279,13538810,13620990,16072245,18424651,
2021/07/14,79400,79600,79100,79500,79660,80080,80430,80973.33,82150.83,11575636,14117754,13633045,16101506,18520916,
2021/07/13,80000,80200,79800,79800,79920,80200,80545,81036.67,82215,9863450,15001067,13804256,16163368,18634545,
2021/07/12,79900,80000,79500,79700,80200,80320,80600,81105,82275,9768108,15454707,13814868,16256135,18884808,
2021/07/09,79600,79800,79000,79400,80340,80540,80640,81178.33,82319.17,22720577,15167279,13853966,16366291,19163640,
2021/07/08,81100,81200,79900,79900,80460,80760,80720,81255,82390.83,16660998,12373783,13422336,16217525,19252900,
2021/07/07,81200,81300,80300,80800,80500,80890,80775,81323.33,82472.5,15992202,11718160,13468635,16193812,19334008,
2021/07/06,80600,81200,80500,81200,80480,80820,80790,81363.33,82546.67,12131651,11177448,13414467,16142530,19501314,
2021/07/05,80100,80800,80000,80400,80440,80700,80825,81403.33,82625,8330969,11899982,13446945,16243564,19805903,
2021/07/02,80000,80400,79900,80000,80740,80650,80900,81475,82713.33,8753097,12549494,13855207,16425452,20489030,
2021/07/01,80500,80600,80000,80100,81060,80700,81010,81568.33,82786.67,13382882,13495155,14323165,16577660,20907865,
2021/06/30,81100,81400,80700,80700,81280,80780,81145,81666.67,82810,13288643,14572795,15131321,16671979,21068380,
2021/06/29,81900,82100,80800,81000,81160,80890,81150,81745,82822.5,15744317,14686376,15287621,16721434,21308383,
2021/06/28,81700,82000,81600,81900,80960,80880,81130,81808.33,82846.67,11578529,13892185,15203325,16842321,21471644,
2021/06/25,81500,81900,81200,81600,80560,80740,81060,81825,82855.83,13481405,14789148,15290465,16960620,21697284,
2021/06/24,80400,81400,80100,81200,80340,80680,80985,81821.67,82850.83,18771080,15076211,15234405,17023272,21830084,
2021/06/23,80500,80600,79900,80100,80280,80660,80905,81838.33,82826.67,13856548,14123472,15455776,16929116,21926487,
2021/06/22,80200,80300,79900,80000,80620,80760,80890,81863.33,82815,11773365,14352133,15362167,16947376,22145058,
2021/06/21,79700,80000,79600,79900,80800,80950,80885,81888.33,82796.67,16063340,14012597,15454946,16965249,22317804,
2021/06/18,81100,81100,80500,80500,80920,81150,80875,81910,82746.67,14916721,12909945,15321712,16943507,22345704,
2021/06/17,81100,81300,80700,80900,81020,81320,80855,81918.33,82678.33,14007385,12744193,15623962,16993673,22357272,
2021/06/16,81500,81900,81100,81800,81040,81510,80785,81933.33,82612.5,14999855,13460115,15750684,16981881,22410272,
2021/06/15,80900,81200,80600,80900,80900,81410,80675,81936.67,82539.17,10075685,13441909,15875411,16943059,22432048,
2021/06/14,80800,80900,80500,80500,81100,81380,80610,81953.33,82475.83,10550078,13983017,16258670,17039626,22550527,
2021/06/11,81200,81700,80700,81000,81380,81380,80590,81993.33,82420,14087962,15172241,16553712,17173545,22608544,
2021/06/10,81300,81400,80900,81000,81620,81290,80465,82015,82360,17586995,15977100,17423819,17132498,22665008,
2021/06/09,81500,82000,81100,81100,81980,81150,80415,82045,82300,14908823,18368902,18335082,17044274,22697704,
2021/06/08,82300,82600,81800,81900,81920,81020,80420,82056.67,82235.83,12781226,18670067,19039475,17024723,22727519,
2021/06/07,82700,82800,81600,81900,81660,80820,80485,82071.67,82160.83,16496197,18925502,19369665,17037213,22953367,
2021/06/04,82700,82700,81500,82200,81380,80600,80485,82073.33,82094.17,18112259,18290527,19252599,17159248,23016548,
2021/06/03,81300,83000,81100,82800,80960,80390,80490,82051.67,82006.67,29546007,17140115,19199362,17191350,23073949,
2021/06/02,80400,81400,80300,80800,80320,80060,80480,82028.33,81924.17,16414644,15870616,18348689,17122596,23065153,
2021/06/01,80500,81300,80100,80600,80120,79940,80525,82048.33,81846.67,14058401,14984559,18313474,17143040,23162785,
2021/05/31,80300,80600,79600,80500,79980,79840,80570,82073.33,81755.83,13321324,14898667,18544214,17250549,23242949,
2021/05/28,79800,80400,79400,80100,79820,79800,80630,82105,81664.17,12360199,14914135,18878196,17434333,23379470,
2021/05/27,80000,80000,79100,79600,79820,79640,80730,82170,81561.67,23198510,16634438,19040024,17559698,23462528,
2021/05/26,80400,80500,79700,79800,79800,79680,80895,82236.67,81454.17,11984359,15303102,18527175,17731359,23634299,
2021/05/25,80000,80400,79800,79900,79760,79820,81080,82281.67,81357.5,13628942,16405111,18702454,18173633,23651625,
2021/05/24,80100,80400,79500,79700,79700,80150,81225,82371.67,81258.33,13398666,17227494,18911261,18515751,23696578,
2021/05/21,80100,81500,79800,80100,79780,80370,81360,82410,81149.17,20961714,17837945,18938065,18739234,23855315,
2021/05/20,79400,79700,79100,79500,79460,80590,81485,82441.67,81045.83,16541828,19943621,18971783,18732994,23948619,
2021/05/18,79600,80000,79100,79600,79560,80900,81705,82486.67,80945.83,17494407,23797709,18920790,18880962,24036891,
2021/05/17,80800,80900,79200,79600,79880,81110,81890,82536.67,80821.67,17740855,26098164,18810435,19020736,24016676,
2021/05/14,79000,80300,78900,80100,80600,81300,82105,82578.33,80696.67,16450920,26426998,18694869,19080517,24007088,
2021/05/13,78900,79600,78400,78500,80960,81460,82305,82630,80569.17,31490096,25967791,18691193,19111464,24061362,
2021/05/12,80800,81200,79800,80000,81720,81820,82580,82736.67,80462.5,35812268,23079274,17806421,18928014,24050645,
2021/05/11,82500,82600,81100,81200,82240,82110,82780,82806.67,80348.33,28996680,18423330,16777718,18723304,24055163,
2021/05/10,82300,83500,81800,83200,82340,82340,82880,82813.33,80198.33,19385027,15766061,15973648,18623789,24076097,
2021/05/07,81800,82100,81500,81900,82000,82300,82900,82805,80013.33,14154882,15623695,15914082,18649011,24079560,
2021/05/06,81700,82300,81700,82300,81960,82350,83040,82823.33,79841.67,17047511,16792913,16168551,18668742,24175174,
2021/05/04,81900,82600,81800,82600,81920,82380,83205,82843.33,79657.5,12532550,16502763,16210452,18685231,24192057,
2021/05/03,81000,82400,81000,81700,81980,82510,83375,82841.67,79470.83,15710336,16584560,16535926,18879216,24220061,
2021/04/30,81900,82100,81500,81500,82340,82670,83560,82890,79290.83,18673197,16540480,16563209,18985914,24230060,
2021/04/29,82400,82500,81500,81700,82600,82910,83725,82938.33,79114.17,20000973,16366857,16779426,19113062,24246445,
2021/04/28,83200,83200,82100,82100,82740,83150,83785,82960,78920.83,15596759,15153611,16713200,19247160,24260759,
2021/04/27,83200,83300,82500,82900,82840,83340,83750,82958.33,78726.67,12941533,16361475,16795388,19647480,24255377,
2021/04/26,82900,83500,82600,83500,83040,83450,83715,82971.67,78514.17,15489938,16877562,16804396,19962785,24318273,
2021/04/23,81900,82900,81600,82800,83000,83420,83620,83006.67,78290,17805080,16837036,16777506,20145004,24413422,
2021/04/22,82900,83000,82400,82400,83220,83500,83555,83071.67,78084.17,13934746,16361925,16529541,20401235,24453688,
2021/04/21,83300,83500,82500,82600,83560,83730,83495,83188.33,77889.17,21636079,16850458,16570745,20623298,24457806,
2021/04/20,83300,84000,83100,83900,83840,84030,83415,83258.33,77699.17,15521965,15282172,16385273,20777057,24421342,
2021/04/19,83800,84000,83300,83300,83860,84240,83310,83328.33,77503.33,15287311,15225421,16274170,20940325,24402561,
2021/04/16,84700,84700,83600,83900,83840,84450,83245,83393.33,77310.83,15429522,14751015,16143330,21105722,24352852,
2021/04/15,83700,84500,83400,84100,83780,84540,83145,83445,77112.5,16377412,15303852,16165339,21513481,24343390,
2021/04/14,84000,84300,83400,84000,83900,84420,83085,83460,76919.17,13794652,15877221,16275730,21960990,24337773,
2021/04/13,83000,84500,82800,84000,84220,84160,83000,83526.67,76726.67,15238206,16695398,16167255,22288275,24383869,
2021/04/12,84100,84100,83100,83200,84620,83980,82940,83621.67,76526.67,12915282,17456162,16020022,22474205,24377509,
2021/04/09,84700,84900,83400,83600,85060,83820,82870,83730,76329.17,18193707,18124303,16061047,22860098,24407833,
2021/04/08,85700,85700,84100,84700,85300,83610,82830,83846.67,76132.5,19244259,19085070,15827891,23368243,24404187,
2021/04/07,86100,86200,85400,85600,84940,83260,82695,83951.67,75934.17,17885538,18971510,16056593,24552608,24377874,
2021/04/06,86200,86200,85100,86000,84100,82800,82460,84005,75728.33,19042023,18842506,16164237,25238071,24389225,
2021/04/05,85800,86000,84800,85400,83340,82380,82230,83953.33,75515,16255990,17658441,16483174,25464781,24365090,
2021/04/02,84000,85200,83900,84800,82580,82040,82060,83900,75300.83,22997538,17397670,16552437,25895332,24434540,
2021/04/01,82500,83000,82000,82900,81920,81750,81925,83885,75093.33,18676461,15367318,16428009,26100967,24366742,
2021/03/31,82400,82700,81400,81400,81580,81750,81900,83886.67,74894.17,17240518,14583791,16711602,26433947,24331637,
2021/03/30,81600,82300,81300,82200,81500,81840,82030,83880,74705,13121698,14721015,16843683,26636896,24356535,
2021/03/29,81700,81700,81000,81600,81420,81900,82100,83815,74505,14952134,14756657,17862507,26923858,24376384,
2021/03/26,81400,81600,81000,81500,81500,81920,82145,83766.67,74310,12845778,14300331,19040940,27342740,24356900,
2021/03/25,81000,82100,80800,81200,81580,82050,82335,83705,74113.33,14758826,14905115,20106451,27670358,24345224,
2021/03/24,81000,81600,80700,81000,81920,82130,82375,83583.33,73918.33,17926638,15670399,20708892,27747900,24368601,
2021/03/23,82600,82900,81800,81800,82180,82120,82425,83438.33,73731.67,13299907,14410101,20841926,27720871,24386807,
2021/03/22,82000,82300,81700,82000,82380,82080,82445,83291.67,73535,12670506,14208827,21447925,27838662,24449561,
2021/03/19,82100,82500,81800,81900,82340,82080,82475,83141.67,73345,15869700,14421885,22108443,27921037,24470144,
2021/03/18,82800,83800,82600,82900,82520,82100,82485,82998.33,73156.67,18585244,13954060,22381343,28061429,24495268,
2021/03/17,82800,82900,82000,82300,82340,82050,82500,82846.67,72961.67,11625146,15000670,22367467,28043543,24549627,
2021/03/16,82200,83000,82100,82800,82060,82220,82630,82705,72784.17,12293537,16683325,22810365,28197519,24594763,
