일자,시가,고가,저가,종가,종가 단순 5,10,20,60,120,거래량,단순 5,20,60,120,
2021/07/21,119500,120000,116500,117000,119900,120700,122925,124733.33,130116.67,2864601,2281568,2729150,3377037,4020181,
2021/07/20,117500,119500,117500,118500,121200,121350,123275,124975,130212.5,2070074,2197265,2721103,3377708,4038547,
2021/07/19,119000,120000,118500,119000,122100,122000,123450,125208.33,130300,2066638,2359065,2726585,3424114,4073547,
2021/07/16,122000,122500,120500,121500,122300,122400,123600,125441.67,130433.33,2905546,2441177,2787017,3439794,4098507,
2021/07/15,123500,124000,122500,123500,121900,122500,123750,125625,130491.67,1500981,2824784,2767046,3476711,4107026,
2021/07/14,122500,124000,121500,123500,121500,122600,123900,125875,130558.33,2443087,3157698,2798186,3487824,4120081,
2021/07/13,121000,123500,121000,123000,121500,123000,124200,126116.67,130616.67,2879072,3114908,2770720,3478886,4140666,
2021/07/12,121000,122000,119500,120000,121900,123200,124475,126358.33,130679.17,2477201,2952521,2725520,3463949,4154285,
2021/07/09,120500,120500,118000,119500,122500,123800,124825,126650,130762.5,4823577,2783591,2702797,3460848,4183037,
2021/07/08,123500,123500,121000,121500,123100,124700,125250,126941.67,130829.17,3165552,2615660,2705048,3426742,4183158,
2021/07/07,125000,125500,122500,123500,123700,125150,125325,127241.67,130904.17,2229140,2649784,2773424,3421919,4201614,
2021/07/06,124000,126000,123500,125000,124500,125200,125275,127475,130983.33,2067135,3073162,2966347,3449408,4239630,
2021/07/05,123500,124500,122500,123000,124500,124900,125400,127725,131016.67,1632551,3102049,3072738,3469557,4294911,
2021/07/02,122500,123500,121500,122500,125100,124800,125675,128075,131100,3983921,3256085,3119256,3505263,4374262,
2021/07/01,127500,128000,124000,124500,126300,125000,125975,128425,131229.17,3336174,2965504,3047855,3479276,4413671,
2021/06/30,126500,129500,126000,127500,126600,125200,126200,128733.33,131312.5,4346027,2827551,3048746,3486227,4435714,
2021/06/29,127500,128000,125000,125000,125900,125400,126125,128991.67,131341.67,2211572,2499077,2975727,3457400,4470545,
2021/06/28,129000,129500,126000,126000,125300,125750,126300,129258.33,131387.5,2402730,2492705,3006107,3477745,4511950,
2021/06/25,128000,129000,127500,128500,124500,125850,126350,129500,131387.5,2531018,2667217,3008375,3534923,4558553,
2021/06/24,124000,126500,123500,126000,123700,125800,126175,129566.67,131304.17,2646407,2662235,2998472,3547901,4572421,
2021/06/23,122500,124500,122000,124000,123800,125500,126150,129708.33,131220.83,2703658,2557713,3093105,3558864,4585442,
2021/06/22,122500,123500,122000,122000,124900,125350,126100,129841.67,131150,2179712,2395731,3108698,3573390,4603121,
2021/06/21,121000,123000,120500,122000,126200,125900,126150,130058.33,131116.67,3275288,2354805,3162631,3600986,4614012,
2021/06/18,127500,127500,124500,124500,127200,126550,126025,130241.67,131066.67,2506112,2104294,3158303,3615694,4613161,
2021/06/17,127000,128000,126000,126500,127900,126950,125925,130391.67,130966.67,2123793,2576793,3236133,3638827,4627867,
2021/06/16,128000,129500,127000,129500,127200,127200,125725,130533.33,130879.17,1893752,3058650,3359980,3667415,4640050,
2021/06/15,128500,129500,128000,128500,125800,126850,125300,130675,130787.5,1975082,3897418,3438795,3681315,4649359,
2021/06/14,127000,127500,125500,127000,125600,126850,124750,130833.33,130712.5,2022730,4341392,3495547,3715324,4663316,
2021/06/11,124500,128500,124000,128000,125900,126850,124325,131083.33,130633.33,4868608,4449430,3555771,3755392,4664906,
2021/06/10,122500,124000,120500,123000,126000,126550,123800,131283.33,130545.83,4533076,3986886,3614442,3717387,4647300,
2021/06/09,125500,126000,122500,122500,127200,126800,123625,131575,130495.83,6087592,3751070,3801398,3696912,4635081,
2021/06/08,127000,127500,125000,127500,127900,126850,123650,131808.33,130437.5,4194955,3110682,3991143,3666952,4617222,
2021/06/07,129500,130000,128000,128500,128100,126400,123775,132016.67,130345.83,2562918,2835527,3934749,3672848,4650646,
2021/06/04,127500,129000,126500,128500,127800,125500,123825,132158.33,130279.17,2555891,2812558,3979119,3741927,4675044,
2021/06/03,127000,130000,126500,129000,127100,124900,123850,132233.33,130166.67,3353993,2767974,4061901,3792903,4691549,
2021/06/02,128500,129000,125500,126000,126400,124250,124000,132358.33,130075,2885654,3004989,4021552,3867373,4706860,
2021/06/01,127000,129000,126000,128500,125800,123750,124275,132516.67,129983.33,2819179,3030963,4081539,3912408,4751637,
2021/05/31,126000,127000,124000,127000,124700,122650,124250,132708.33,129841.67,2448074,3118800,4138378,3966946,4783293,
2021/05/28,126500,126500,124000,125000,123200,121800,124400,132958.33,129691.67,2332971,3266932,4202887,4035921,4825295,
2021/05/27,124500,126000,123000,125500,122700,121050,124650,133325,129487.5,4539067,3612876,4366077,4094158,4842983,
2021/05/26,124000,124500,122000,123000,122100,120450,125125,133641.67,129254.17,3015522,3625213,4308856,4174783,4837473,
2021/05/25,121500,123000,120500,123000,121700,120450,125550,133950,129052.5,3258364,3716118,4303324,4305245,4828811,
2021/05/24,122000,122500,119000,119500,120600,121150,126025,134375,128855.83,3188734,3686471,4383126,4416547,4826102,
2021/05/21,124500,125500,121000,122500,120400,122150,126700,134650,128670,4062695,3694164,4374062,4514648,4833542,
2021/05/20,121000,124000,119500,122500,119400,122800,127200,134916.67,128470.83,4600751,4090030,4426956,4553604,4831070,
2021/05/18,117500,122000,117500,121000,118800,123750,128000,135150,128283.33,3470048,4824319,4305305,4609617,4827305,
2021/05/17,120000,120000,117000,117500,119200,124800,128850,135350,128081.67,3110127,6106808,4227142,4668225,4818588,
2021/05/14,118500,120000,118000,118500,121700,125850,129850,135491.67,127920.83,3227201,6098198,4170779,4679596,4815726,
2021/05/13,116000,118500,115500,117500,123900,127000,130800,135683.33,127750,6042025,6142822,4123977,4686163,4819950,
2021/05/12,123000,123500,119000,119500,126200,128250,131775,135933.33,127588.33,8272196,5776724,3960736,4639107,4813085,
2021/05/11,127000,127500,122000,123000,128700,129800,132775,136141.67,127409.17,9882491,4631686,3690935,4590979,4821436,
2021/05/10,131000,131000,128500,130000,130400,130650,133500,136191.67,127131.67,3067077,3472267,3390734,4497313,4770534,
2021/05/07,128000,131000,127000,129500,130000,130900,134000,136116.67,126782.5,3450323,3650041,3401184,4532480,4778362,
2021/05/06,130000,130500,128000,129000,130100,131250,134725,136041.67,126428.33,4211535,3707630,3417414,4522916,4771598,
2021/05/04,130500,132000,129000,132000,130300,131600,135450,136016.67,126074.17,2547004,3984675,3328072,4511012,4760250,
2021/05/03,127500,132500,127000,131500,130900,132250,136000,135900,125690.83,4085398,4154204,3388382,4545239,4759394,
2021/04/30,130000,130500,126500,128000,130900,132900,136575,135875,125314.17,3955947,3918100,3314935,4538711,4749214,
2021/04/29,132000,133000,129000,130000,131800,133850,137225,135908.33,124965,3738266,4097793,3288749,4554113,4750268,
2021/04/28,134500,135000,130000,130000,132400,134600,137750,135825,124575,5596760,3951632,3393508,4585480,4750634,
2021/04/27,133000,136000,132500,135000,132900,135300,137875,135700,124170,3394650,3856395,3279154,4615389,4721142,
2021/04/26,132500,132500,130500,131500,133600,135750,137850,135500,123708.33,2904879,3611011,3274631,4663325,4709524,
2021/04/23,130500,132500,128500,132500,134900,136350,137875,135450,123278.33,4854412,3411392,3308148,4699385,4707904,
2021/04/22,134500,135500,133000,133000,135900,137100,138000,135391.67,122855,3007457,2837085,3257200,4722980,4689428,
2021/04/21,138000,138000,132000,132500,136800,138200,138000,135425,122437.5,5120577,2693826,3314717,4757220,4679145,
2021/04/20,136500,138500,136500,138500,137700,139300,138050,135358.33,122021.67,2167732,2225151,3253392,4737340,4655356,
2021/04/19,138000,139000,137000,138000,137900,139750,137875,135241.67,121560.83,1906782,2366840,3336960,4752339,4651148,
2021/04/16,138500,139000,137500,137500,137800,140250,137875,135116.67,121110,1982877,2761175,3378007,4802447,4657005,
2021/04/15,136000,139000,136000,137500,138300,140600,137900,135000,120658.33,2291160,3019815,3479644,4844621,4662098,
2021/04/14,139000,139000,136500,137000,139600,140900,138125,134875,120210.83,2777203,3316569,3586428,4905225,4684054,
2021/04/13,136000,140000,135500,139500,140900,140450,138275,134716.67,119779.17,2876178,3246066,3576984,4939574,4716099,
2021/04/12,140500,140500,136000,137500,141600,139950,138325,134566.67,119339.17,3878457,3421474,3598403,4981309,4718381,
2021/04/09,144000,145000,139500,140000,142700,139400,138275,134491.67,118904.17,3276077,3169071,3618980,5029852,4706356,
2021/04/08,143500,146000,142500,144000,142900,138900,138275,134308.33,118463.33,3774932,3200304,3682611,5120265,4702413,
2021/04/07,146000,146000,142500,143500,142200,137800,137925,134125,117984.17,2424687,3612005,3829247,5243261,4697820,
2021/04/06,147000,147000,141500,143000,140000,136800,137400,134033.33,117523.33,3753217,3789004,3988737,5348066,4730743,
2021/04/05,142000,144500,141000,143000,138300,136000,137075,133891.67,117044.17,2616440,3699197,4192184,5385201,4736669,
2021/04/02,142000,143000,140000,141000,136100,135500,136700,133691.67,116543.33,3432245,3890954,4340751,5483690,4742622,
2021/04/01,138000,140500,136500,140500,134900,135200,136650,133516.67,116063.33,5833436,3971594,4473711,5546156,4732806,
2021/03/31,134500,135000,132000,132500,133400,135350,136725,133275,115584.17,3309680,3636466,4511367,5582182,4707112,
2021/03/30,133000,135500,132000,134500,133600,136100,137450,133041.67,115173.33,3304184,3753346,4637244,5596941,4707839,
2021/03/29,135500,135500,131500,132000,133700,136700,137950,132733.33,114752.5,3575226,3860328,4940861,5612020,4719536,
2021/03/26,134000,135000,132000,135000,134900,137150,138425,132458.33,114340,3835443,3690826,5304263,5632851,4716027,
2021/03/25,133000,134500,130500,133000,135500,137650,139100,132175,113905.83,4157799,3726863,5609316,5627038,4710778,
2021/03/24,133000,134500,131500,133500,137300,138050,139250,131891.67,113500,3894080,3780671,5855166,5610627,4729476,
2021/03/23,139000,139500,134000,135000,138600,138000,139500,131541.67,113084.17,3839090,3519519,5980464,5616907,4734018,
2021/03/22,138500,140000,137000,138000,139700,138150,139575,131225,112636.67,2727719,3412613,6186586,5612685,4736525,
2021/03/19,138000,139500,137000,138000,139400,137900,139325,130900,112190.83,4015627,3725067,6399526,5617403,4747985,
2021/03/18,142500,145000,141000,142000,139800,138100,138725,130591.67,111738.33,4426840,3831681,6388366,5611308,4757850,
2021/03/17,141000,141000,138500,140000,138800,138100,138125,130183.33,111240,2588319,4287847,6348083,5574420,4754751,
2021/03/16,138500,140500,138000,140500,137400,138800,137750,129808.33,110752.5,3304561,4893079,6379601,5577213,4759175,
2021/03/15,141500,142000,136000,136500,136600,139200,137325,129416.67,110264.17,4289990,5796597,6483600,5573250,4780798,
2021/03/12,140500,142500,139500,140000,136400,139700,136800,129066.67,109793.33,4548695,6056156,6482226,5567493,4779212,
2021/03/11,134500,139000,134000,137000,136400,140550,136075,128675,109280,6707671,6364706,6513646,5628444,4764900,
2021/03/10,140500,140500,132500,133000,137400,140450,135475,128400,108776.67,5614476,6340484,6322086,5608162,4738516,
